PA,K%,BB%,ISO,Spd,LD%,GB%,FB%,IFFB%,HR/FB,Soft%,Med%,Hard%,Swing%,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,Def,HR,AVG,OBP,SLG,wOBA,wRC+,BsR,WAR
573,20.90%,4.40%,0.223,3.9,15.90%,45.70%,38.40%,17.30%,17.90%,27.00%,43.50%,29.60%,53.50%,41.70%,67.30%,65.90%,84.80%,-5.5,29,0.254,0.291,0.477,0.328,109,-1.8,1.8
284,25.40%,4.60%,0.257,3,15.70%,38.40%,46.00%,16.50%,19.80%,17.20%,44.40%,38.40%,55.60%,40.30%,70.30%,58.40%,80.10%,-2.2,18,0.242,0.278,0.498,0.328,96,-0.6,0.5
359,22.30%,15.90%,0.181,1.3,15.30%,33.50%,51.20%,5.50%,11.80%,13.50%,53.00%,33.50%,40.20%,21.40%,61.10%,58.90%,87.70%,-11.6,13,0.201,0.343,0.382,0.328,98,0,-0.1
336,16.10%,10.10%,0.162,2.2,21.80%,42.40%,35.80%,6.90%,13.80%,18.70%,58.50%,22.80%,41.10%,26.00%,56.60%,72.40%,91.10%,-9.5,12,0.253,0.331,0.416,0.328,100,0.8,0.3
109,16.50%,1.80%,0.124,3.3,23.00%,51.70%,25.30%,13.60%,9.10%,20.70%,50.60%,28.70%,45.40%,32.40%,59.20%,65.20%,83.20%,1.2,2,0.295,0.321,0.419,0.327,106,-0.2,0.6
283,15.50%,13.80%,0.163,2.7,25.10%,40.70%,34.20%,7.40%,10.30%,12.60%,51.30%,36.20%,39.40%,21.10%,57.50%,82.10%,89.20%,-3.1,7,0.238,0.343,0.4,0.327,88,-1.1,0
402,11.90%,10.40%,0.099,2.8,23.00%,49.20%,27.80%,10.50%,5.80%,18.10%,53.40%,28.50%,45.50%,24.10%,69.10%,65.60%,93.10%,-4.8,5,0.282,0.361,0.381,0.327,110,-2.4,1.1
576,16.10%,13.70%,0.128,3.6,26.80%,51.90%,21.30%,0.00%,12.80%,13.40%,55.30%,31.30%,35.80%,25.80%,47.00%,78.60%,90.40%,-9.4,11,0.261,0.363,0.389,0.327,102,-2.2,0.9
588,23.00%,13.90%,0.191,3.2,21.20%,34.60%,44.20%,11.20%,14.90%,14.40%,54.80%,30.80%,38.00%,21.50%,56.40%,61.30%,87.20%,-3,24,0.219,0.332,0.41,0.327,93,-0.9,1.1
231,13.90%,3.90%,0.14,3.6,25.00%,35.30%,39.70%,9.60%,6.80%,18.90%,51.40%,29.70%,52.60%,35.00%,72.20%,71.50%,86.80%,-1.3,5,0.29,0.33,0.43,0.326,103,1.1,0.8
667,19.80%,8.50%,0.167,2.8,16.50%,58.90%,24.70%,6.00%,21.40%,18.90%,46.80%,34.40%,48.80%,36.10%,66.40%,60.00%,86.80%,-20.4,25,0.266,0.328,0.433,0.326,102,-5.3,-0.1
168,20.80%,11.90%,0.212,0.7,17.90%,35.70%,46.40%,21.20%,13.50%,31.30%,42.90%,25.90%,43.70%,26.10%,62.70%,64.50%,84.10%,-4.1,7,0.212,0.31,0.425,0.326,108,0.2,0.3
144,18.80%,9.70%,0.155,0.4,15.50%,40.80%,43.70%,4.40%,8.90%,14.60%,58.30%,27.20%,43.10%,30.60%,58.80%,61.20%,88.70%,-0.7,4,0.256,0.326,0.411,0.326,92,0.4,0.3
576,20.80%,9.90%,0.197,1.7,20.40%,43.40%,36.20%,4.90%,15.50%,13.50%,47.60%,38.90%,46.30%,30.60%,65.60%,58.30%,85.80%,-7,22,0.246,0.326,0.443,0.326,98,-2.4,0.9
254,28.70%,7.10%,0.17,1.9,26.80%,38.20%,35.00%,9.10%,16.40%,17.20%,43.30%,39.50%,45.30%,31.50%,62.90%,46.00%,81.10%,-9.4,9,0.253,0.323,0.424,0.325,103,0,-0.1
582,27.10%,14.90%,0.211,2.7,14.50%,44.90%,40.60%,9.80%,21.20%,18.20%,44.20%,37.60%,45.30%,24.70%,68.70%,43.40%,80.70%,-15.5,28,0.196,0.325,0.407,0.325,105,1.5,1
440,12.70%,6.80%,0.13,1.7,17.90%,41.00%,41.00%,12.50%,6.90%,15.60%,58.60%,25.80%,46.60%,29.20%,61.90%,67.70%,91.30%,-4.5,10,0.283,0.332,0.413,0.325,94,-2.8,0.4
690,18.40%,11.00%,0.186,3.1,19.60%,42.50%,37.90%,9.90%,12.60%,15.80%,50.30%,33.90%,44.90%,30.60%,62.30%,63.70%,89.60%,-3.9,23,0.233,0.323,0.419,0.325,105,-2.6,1.9
120,15.00%,10.80%,0.106,1.5,21.80%,41.40%,36.80%,12.50%,9.40%,18.40%,56.30%,25.30%,38.90%,21.50%,54.40%,60.90%,93.90%,1.2,3,0.269,0.35,0.375,0.325,107,0.7,0.7
443,26.00%,13.10%,0.175,3.5,19.40%,42.50%,38.10%,10.80%,14.70%,22.40%,41.80%,35.80%,40.10%,25.20%,57.00%,61.80%,82.10%,-6.3,15,0.225,0.327,0.401,0.324,110,-3.2,0.9
496,8.50%,7.90%,0.097,2.1,20.60%,46.00%,33.40%,9.40%,2.90%,12.80%,52.30%,34.90%,46.30%,35.50%,58.70%,81.50%,95.20%,-9.1,4,0.296,0.353,0.393,0.324,93,-3.2,0.1
174,24.10%,7.50%,0.171,2.7,24.10%,36.10%,39.80%,7.00%,9.30%,17.40%,48.70%,33.90%,47.70%,28.90%,67.80%,69.20%,87.80%,-1.5,4,0.257,0.329,0.428,0.324,99,-0.3,0.4
253,24.10%,4.00%,0.194,2.3,25.40%,34.80%,39.80%,16.70%,15.30%,18.80%,47.50%,33.70%,50.50%,41.80%,61.60%,67.30%,85.40%,-10.3,11,0.256,0.289,0.45,0.324,112,-4.2,-0.3
365,16.20%,6.60%,0.158,3.3,23.80%,39.70%,36.50%,18.80%,10.90%,17.90%,50.50%,31.50%,47.80%,28.60%,66.90%,64.60%,92.00%,-4.5,11,0.262,0.315,0.42,0.324,111,-1.7,1.1
346,11.30%,4.60%,0.153,3.9,19.00%,49.80%,31.10%,10.00%,7.80%,18.00%,50.50%,31.50%,57.50%,37.70%,76.20%,79.80%,91.50%,-2.5,7,0.288,0.318,0.441,0.324,92,-3,0.3
427,18.30%,14.80%,0.144,1.5,23.10%,39.50%,37.40%,13.10%,10.30%,20.60%,46.90%,32.50%,38.30%,23.50%,54.80%,68.40%,88.50%,-10.6,11,0.233,0.344,0.378,0.324,109,-2.3,0.4
274,15.30%,7.70%,0.132,1.1,28.90%,42.20%,28.90%,3.30%,8.20%,15.20%,52.10%,32.70%,45.60%,32.80%,61.50%,64.40%,92.40%,-9,5,0.284,0.336,0.416,0.324,104,-5.8,-0.4
111,23.40%,7.20%,0.147,4.2,23.40%,37.70%,39.00%,13.30%,6.70%,15.60%,57.10%,27.30%,49.80%,34.10%,65.70%,59.50%,80.00%,-4.6,2,0.275,0.324,0.422,0.323,99,-0.2,-0.1
573,6.80%,6.30%,0.137,2.6,17.80%,52.70%,29.50%,12.50%,9.70%,16.20%,58.90%,25.00%,48.30%,30.60%,67.10%,78.50%,96.00%,0.4,14,0.272,0.328,0.41,0.323,95,-6.9,0.9
264,29.20%,7.60%,0.191,1.5,19.40%,48.50%,32.10%,17.00%,20.80%,24.20%,47.30%,28.50%,45.50%,31.80%,61.90%,44.30%,88.30%,-4.6,11,0.253,0.314,0.444,0.323,98,0,0.4
619,16.30%,10.00%,0.12,2,23.70%,45.00%,31.30%,2.80%,6.40%,11.70%,58.30%,30.00%,48.10%,24.50%,73.30%,56.10%,89.80%,-8.2,9,0.273,0.348,0.393,0.323,108,-6.3,1.1
485,19.80%,6.80%,0.172,5.1,18.10%,41.70%,40.20%,14.30%,11.40%,19.00%,49.40%,31.60%,47.00%,33.90%,61.90%,69.20%,85.70%,-8.2,16,0.254,0.315,0.426,0.323,105,2.2,1.4
136,4.40%,5.10%,0.111,1.2,16.50%,42.10%,41.30%,16.00%,4.00%,15.70%,59.50%,24.80%,56.90%,34.10%,78.00%,82.50%,94.20%,-1.3,2,0.286,0.331,0.397,0.322,97,-0.3,0.3
518,18.50%,11.60%,0.095,3.6,27.20%,50.80%,21.90%,0.00%,5.10%,11.40%,60.70%,28.00%,38.70%,25.60%,52.10%,77.00%,88.50%,-7.9,4,0.277,0.361,0.371,0.322,105,3.5,1.6
442,19.70%,9.00%,0.174,1.3,25.10%,33.70%,41.30%,5.40%,11.50%,15.20%,51.10%,33.70%,47.70%,30.70%,66.40%,74.50%,85.60%,-11.2,15,0.249,0.314,0.423,0.322,86,-2,-0.7
678,27.10%,8.00%,0.219,3.7,17.00%,45.90%,37.00%,14.70%,20.90%,16.60%,47.70%,35.70%,50.20%,36.80%,66.30%,55.20%,80.40%,-3.6,34,0.234,0.294,0.453,0.322,107,-2.5,2.3
469,25.20%,12.20%,0.187,2.4,15.50%,42.40%,42.10%,11.50%,14.80%,22.40%,47.90%,29.70%,42.40%,22.50%,62.50%,57.20%,83.00%,-5.4,18,0.224,0.324,0.41,0.321,99,-2.5,0.7
635,17.30%,7.90%,0.152,1.1,21.20%,40.80%,38.00%,7.30%,9.60%,15.20%,56.00%,28.90%,51.40%,37.90%,67.90%,67.50%,89.70%,-12.3,17,0.259,0.323,0.411,0.321,101,-2.6,0.7
590,22.20%,12.20%,0.166,4,21.70%,36.80%,41.50%,3.80%,12.60%,10.70%,55.00%,34.40%,41.70%,25.60%,61.00%,60.80%,86.40%,-13.3,20,0.237,0.332,0.403,0.321,102,-0.2,0.6
264,18.90%,6.40%,0.129,2.9,19.70%,42.50%,37.80%,6.80%,9.60%,20.70%,51.80%,27.50%,48.80%,30.60%,67.10%,58.70%,85.70%,-8.2,7,0.275,0.33,0.404,0.321,95,-2.4,-0.3
478,11.90%,6.90%,0.124,1.1,16.50%,48.80%,34.60%,9.70%,8.20%,14.20%,60.60%,25.30%,43.80%,27.80%,59.50%,66.20%,92.70%,-13.9,11,0.275,0.324,0.4,0.32,90,-7.7,-1.1
518,22.60%,8.70%,0.206,1.8,17.30%,43.20%,39.50%,4.30%,16.50%,12.80%,50.40%,36.80%,44.00%,29.60%,60.70%,55.00%,87.60%,-6.5,23,0.232,0.299,0.437,0.32,95,-2,0.6
605,23.50%,3.80%,0.181,1.4,19.10%,42.80%,38.20%,7.20%,15.10%,16.50%,49.50%,33.90%,47.50%,37.10%,60.30%,58.30%,87.10%,-16.5,25,0.271,0.302,0.451,0.32,100,-1.8,0.2
446,18.80%,8.50%,0.175,5,18.20%,45.90%,35.80%,14.90%,13.20%,27.90%,43.00%,29.20%,45.90%,24.90%,66.60%,48.50%,87.40%,-8.4,15,0.242,0.315,0.416,0.32,85,0.1,-0.2
460,32.80%,12.40%,0.228,1.5,18.40%,29.80%,51.80%,8.70%,18.90%,15.10%,48.20%,36.70%,45.90%,25.20%,68.20%,36.70%,75.20%,-10.6,24,0.199,0.307,0.427,0.319,105,-2.2,0.5
556,12.40%,6.80%,0.161,4,18.70%,40.00%,41.30%,9.30%,6.60%,13.60%,60.10%,26.30%,47.00%,32.40%,62.50%,75.90%,95.20%,-5.7,12,0.266,0.313,0.427,0.319,94,0.3,0.8
512,18.00%,7.60%,0.155,2.7,18.00%,41.60%,40.50%,7.90%,10.60%,20.20%,53.10%,26.80%,47.30%,30.50%,65.10%,61.50%,90.50%,-11.7,16,0.259,0.32,0.414,0.319,93,1.2,0.2
257,20.20%,13.20%,0.117,2.3,22.80%,41.50%,35.70%,18.00%,9.80%,22.20%,51.50%,26.30%,44.40%,24.90%,68.00%,49.60%,89.00%,-6.2,6,0.248,0.346,0.365,0.319,92,-3.3,-0.4
329,22.80%,5.80%,0.156,2.2,16.70%,44.00%,39.30%,5.40%,12.00%,18.80%,44.90%,36.30%,48.80%,32.60%,67.40%,54.60%,82.10%,-6.3,11,0.266,0.31,0.422,0.319,88,-1.4,-0.2
651,12.30%,6.30%,0.09,2.6,26.60%,42.40%,31.00%,5.50%,5.50%,18.10%,57.40%,24.50%,46.70%,29.30%,65.00%,76.70%,93.90%,-13.4,9,0.29,0.336,0.38,0.318,106,-5.8,0.7
317,23.30%,6.30%,0.175,1,22.00%,52.80%,25.20%,3.60%,25.50%,20.20%,53.20%,26.60%,47.50%,30.80%,65.70%,56.20%,88.20%,-4.3,14,0.253,0.312,0.428,0.318,102,-4.6,0.3
649,17.90%,7.70%,0.167,1.4,15.60%,47.30%,37.10%,11.90%,12.50%,17.50%,50.30%,32.20%,46.60%,26.70%,65.20%,55.10%,89.30%,-14,22,0.248,0.312,0.415,0.318,93,-4.8,-0.2
404,20.30%,4.20%,0.177,2.9,18.40%,44.50%,37.10%,18.00%,14.40%,24.10%,48.50%,27.40%,50.80%,41.70%,61.20%,69.10%,88.10%,-11.4,16,0.262,0.3,0.439,0.318,104,0.2,0.4
202,23.80%,11.40%,0.19,3.2,16.00%,36.80%,47.20%,16.90%,11.90%,21.10%,50.80%,28.10%,44.40%,22.80%,65.70%,49.40%,84.30%,-3.9,7,0.213,0.315,0.402,0.318,94,-0.2,0.1
398,22.40%,9.30%,0.176,3.7,21.10%,44.20%,34.70%,10.90%,15.20%,19.90%,45.90%,34.20%,46.50%,28.00%,68.60%,55.80%,87.40%,-9,14,0.238,0.319,0.414,0.318,100,0.4,0.5
181,23.20%,7.20%,0.116,3.6,24.80%,33.10%,42.10%,23.50%,7.80%,27.10%,43.40%,29.50%,45.20%,27.00%,63.70%,61.90%,89.40%,2.8,4,0.262,0.328,0.378,0.318,99,1.1,1
207,12.60%,5.80%,0.081,3.6,18.80%,43.80%,37.50%,8.30%,3.30%,17.40%,46.10%,36.50%,44.00%,23.10%,66.70%,88.90%,91.70%,-2.7,2,0.292,0.338,0.373,0.317,90,-1.3,0
610,15.20%,11.60%,0.16,1.6,18.90%,30.00%,51.10%,11.90%,8.80%,19.40%,57.00%,23.70%,42.00%,23.70%,60.10%,72.50%,90.80%,-8.3,20,0.234,0.323,0.394,0.317,88,-5.3,-0.2
431,9.70%,9.00%,0.114,1.7,19.10%,51.40%,29.50%,12.70%,6.90%,17.90%,56.40%,25.70%,42.70%,28.00%,57.60%,76.90%,92.20%,1.5,7,0.268,0.339,0.382,0.317,90,-2.4,0.8
208,14.90%,6.70%,0.116,1.1,23.60%,37.90%,38.50%,16.10%,6.50%,14.30%,54.70%,31.10%,44.70%,29.20%,63.00%,63.90%,90.60%,-3.2,4,0.274,0.327,0.389,0.317,101,-4.3,0
302,21.90%,13.20%,0.191,1.6,19.40%,33.50%,47.10%,7.80%,11.10%,19.90%,44.00%,36.10%,45.40%,23.20%,68.10%,51.30%,85.60%,-6.2,10,0.211,0.328,0.402,0.317,94,1.8,0.3
269,28.30%,7.80%,0.142,6.6,19.40%,52.10%,28.50%,12.80%,17.00%,16.30%,51.20%,32.50%,45.40%,29.10%,64.50%,54.10%,84.70%,-4.5,8,0.258,0.331,0.4,0.317,93,2.4,0.5
489,21.50%,11.20%,0.162,0.5,13.80%,43.60%,42.60%,6.50%,10.80%,22.40%,49.70%,27.90%,44.70%,26.70%,64.50%,56.40%,83.70%,-8.6,15,0.234,0.323,0.396,0.317,103,-4,0.5
259,11.60%,8.90%,0.139,3,20.70%,39.90%,39.40%,7.50%,7.50%,11.80%,58.80%,29.40%,49.00%,30.30%,67.60%,68.80%,91.20%,0,6,0.261,0.329,0.4,0.316,88,0.8,0.5
648,14.70%,8.00%,0.128,4,24.50%,43.30%,32.20%,8.10%,6.30%,13.90%,59.20%,27.00%,42.60%,27.90%,58.20%,78.00%,92.50%,-11.7,10,0.267,0.329,0.395,0.316,97,1.7,0.8
508,21.50%,11.40%,0.182,1.7,21.20%,41.50%,37.30%,6.40%,17.60%,16.10%,49.00%,34.90%,42.20%,28.50%,57.90%,63.00%,88.50%,-3.6,22,0.216,0.313,0.398,0.316,102,-4.2,1
353,17.30%,8.20%,0.159,1.8,17.10%,48.30%,34.60%,9.90%,12.10%,15.20%,56.30%,28.50%,44.00%,30.20%,59.80%,73.20%,90.70%,-7,11,0.255,0.314,0.414,0.316,95,-4.1,-0.1
209,27.30%,9.60%,0.187,3.9,13.80%,42.30%,43.80%,8.80%,15.80%,20.80%,53.90%,25.40%,48.60%,26.80%,72.50%,54.60%,86.70%,-2.5,9,0.225,0.306,0.412,0.316,103,1.2,0.6
164,21.30%,14.60%,0.081,2.2,26.50%,33.30%,40.20%,12.20%,4.90%,18.60%,61.80%,19.60%,40.90%,19.70%,60.30%,55.40%,80.20%,-0.5,2,0.235,0.36,0.316,0.316,89,0.5,0.3
542,19.70%,5.90%,0.188,1.5,21.80%,40.00%,38.30%,10.50%,17.00%,17.50%,49.30%,33.30%,50.10%,35.90%,66.70%,66.90%,85.70%,-11.9,26,0.251,0.295,0.439,0.316,95,-0.3,0.2
117,27.40%,6.80%,0.167,1.7,19.40%,44.40%,36.10%,7.70%,11.50%,13.70%,49.30%,37.00%,45.60%,29.80%,65.10%,53.30%,79.40%,0.5,3,0.235,0.31,0.402,0.316,101,-0.8,0.4
373,25.70%,5.90%,0.189,3.2,22.80%,32.50%,44.70%,14.50%,14.50%,20.30%,43.90%,35.80%,52.20%,37.50%,70.20%,57.80%,85.90%,-5.5,16,0.248,0.305,0.437,0.316,99,-1.7,0.5
124,25.00%,5.60%,0.184,2.3,18.10%,48.20%,33.70%,3.60%,14.30%,7.20%,51.80%,41.00%,51.70%,31.10%,72.90%,54.80%,82.00%,-0.7,4,0.246,0.306,0.43,0.316,94,0.6,0.3
547,21.20%,8.40%,0.165,2.3,19.70%,37.60%,42.60%,8.00%,9.30%,15.60%,47.10%,37.20%,47.60%,32.40%,66.00%,68.00%,87.70%,-12,15,0.246,0.309,0.411,0.316,101,-2,0.3
194,24.70%,7.70%,0.148,4.4,18.60%,48.80%,32.60%,11.90%,9.50%,28.50%,43.90%,27.70%,43.10%,25.70%,58.10%,64.80%,81.50%,-1.2,4,0.256,0.314,0.403,0.316,100,-0.1,0.5
363,24.50%,8.30%,0.126,4,18.50%,44.50%,37.00%,4.50%,10.20%,12.90%,62.10%,25.00%,48.00%,33.60%,66.50%,51.90%,86.20%,3.6,9,0.261,0.329,0.387,0.316,90,0.9,1.2
184,29.90%,16.80%,0.093,0.4,25.80%,50.50%,23.70%,4.30%,13.00%,13.40%,51.60%,35.10%,44.60%,27.70%,68.70%,38.70%,80.70%,-1.4,3,0.225,0.359,0.318,0.315,90,-3.5,-0.1
654,18.80%,8.10%,0.167,3,16.80%,44.00%,39.20%,8.60%,11.20%,18.50%,50.70%,30.80%,47.20%,31.10%,66.60%,65.80%,87.20%,-14.7,21,0.247,0.306,0.414,0.315,95,-3,-0.2
257,17.90%,7.80%,0.188,3.2,20.50%,27.90%,51.60%,13.30%,10.20%,18.40%,50.00%,31.60%,52.80%,33.40%,73.70%,67.30%,87.90%,-5.3,10,0.239,0.3,0.427,0.315,84,2,0
327,26.30%,13.10%,0.161,1.6,18.20%,47.00%,34.80%,10.10%,17.40%,18.70%,48.50%,32.80%,42.70%,25.20%,63.00%,46.10%,80.00%,-16.1,12,0.221,0.321,0.382,0.314,92,-2.5,-1.1
131,26.00%,9.90%,0.138,1,32.50%,43.40%,24.10%,5.00%,10.00%,6.00%,47.00%,47.00%,47.40%,29.10%,68.20%,57.30%,85.80%,-1,2,0.259,0.331,0.397,0.314,93,-3.2,-0.1
436,13.10%,5.30%,0.127,1.6,17.80%,42.90%,39.30%,12.90%,7.90%,18.40%,57.60%,24.00%,48.40%,29.20%,67.70%,55.80%,87.80%,-15.6,11,0.273,0.314,0.4,0.314,84,-6.7,-1.6
547,17.00%,6.40%,0.127,3.1,16.90%,51.20%,31.90%,6.80%,6.80%,17.30%,49.50%,33.20%,48.40%,36.70%,64.00%,73.40%,90.80%,-10.1,9,0.27,0.318,0.398,0.314,98,-6,0
285,36.50%,6.30%,0.21,3.6,22.20%,40.50%,37.30%,13.60%,22.00%,18.40%,51.30%,30.40%,50.10%,36.50%,66.70%,48.30%,79.90%,-8.5,13,0.221,0.284,0.431,0.314,96,0.2,0
292,16.80%,5.50%,0.147,0.8,24.30%,28.80%,46.90%,8.50%,7.50%,15.00%,55.80%,29.20%,45.80%,34.50%,58.20%,68.50%,93.30%,-8.5,8,0.267,0.308,0.414,0.313,81,0,-0.6
218,24.80%,12.80%,0.194,6.5,10.60%,45.50%,43.90%,15.50%,10.30%,23.30%,41.40%,35.30%,44.30%,28.00%,63.80%,54.20%,84.10%,-5.2,6,0.204,0.317,0.398,0.313,84,-0.3,-0.2
209,19.60%,5.30%,0.153,4.2,19.50%,51.70%,28.90%,11.60%,9.30%,24.00%,48.70%,27.30%,53.10%,38.60%,70.20%,63.60%,81.40%,-2.3,4,0.253,0.316,0.405,0.313,93,-1.5,0.1
495,21.80%,5.30%,0.225,4.4,18.40%,37.40%,44.10%,8.20%,15.80%,15.90%,52.80%,31.30%,48.30%,33.70%,63.70%,60.70%,85.80%,-9.8,25,0.234,0.277,0.459,0.313,81,0.2,-0.5
385,35.80%,8.30%,0.195,1.9,17.50%,45.50%,37.00%,10.30%,23.10%,19.30%,41.50%,39.20%,49.90%,36.60%,67.70%,52.70%,83.10%,-16.5,18,0.227,0.296,0.422,0.313,95,-1.6,-1
529,20.80%,10.20%,0.149,1.1,27.30%,39.80%,32.90%,2.50%,13.40%,9.90%,47.50%,42.50%,50.50%,34.60%,69.50%,64.80%,85.80%,-6.3,16,0.249,0.329,0.399,0.313,91,-8.1,-0.2
333,16.80%,11.40%,0.133,3.1,20.30%,47.70%,32.10%,15.80%,7.90%,18.60%,48.50%,32.90%,44.20%,24.00%,65.30%,63.30%,90.80%,-13.5,6,0.242,0.333,0.375,0.312,98,-0.5,-0.5
524,37.20%,11.60%,0.208,2.7,23.50%,36.70%,39.80%,2.90%,24.80%,12.80%,45.70%,41.50%,42.90%,32.80%,55.50%,49.20%,79.40%,-9.7,26,0.215,0.309,0.423,0.312,92,-0.9,0.2
331,10.30%,10.00%,0.105,2.5,19.10%,49.40%,31.50%,16.00%,6.20%,19.50%,51.30%,29.10%,41.90%,22.70%,60.60%,69.60%,91.00%,-0.8,5,0.258,0.336,0.362,0.312,84,-3.1,0
419,35.80%,5.70%,0.205,2,20.60%,35.40%,44.00%,2.80%,19.60%,12.40%,56.80%,30.90%,53.50%,39.20%,68.70%,50.90%,71.20%,-10.8,21,0.238,0.284,0.442,0.312,80,1.5,-0.6
173,16.80%,7.50%,0.127,1.3,25.40%,42.30%,32.30%,2.40%,7.10%,18.30%,48.90%,32.80%,49.20%,36.20%,67.10%,65.30%,91.00%,-1.1,3,0.266,0.32,0.392,0.312,94,-3,0
432,28.00%,10.20%,0.168,2.7,19.00%,41.40%,39.50%,10.60%,12.50%,24.70%,44.10%,31.20%,46.20%,30.30%,66.60%,51.50%,80.30%,-10.3,13,0.23,0.315,0.398,0.311,98,-3,-0.1
379,24.00%,9.50%,0.11,1.8,21.10%,52.20%,26.70%,6.10%,7.60%,23.00%,52.40%,24.60%,46.70%,30.50%,65.70%,52.30%,87.50%,-10.9,5,0.259,0.334,0.369,0.311,95,-6.8,-0.9
198,28.30%,3.00%,0.164,2.2,24.60%,42.50%,32.80%,0.00%,13.60%,11.10%,52.60%,36.30%,50.70%,34.90%,65.90%,54.20%,86.00%,-4.8,6,0.265,0.289,0.429,0.311,86,-2.1,-0.3
375,12.50%,8.50%,0.087,3.5,20.50%,46.20%,33.20%,7.20%,6.20%,11.60%,57.80%,30.60%,47.20%,27.80%,67.70%,61.40%,94.30%,-3.8,6,0.281,0.341,0.368,0.311,100,-1.5,0.6
206,10.20%,7.30%,0.112,2.4,18.90%,47.30%,33.70%,5.30%,7.00%,12.90%,62.40%,24.70%,46.50%,25.40%,66.90%,66.00%,93.30%,-5.8,4,0.278,0.327,0.39,0.311,81,-1.8,-0.6
190,26.80%,8.40%,0.176,4.7,15.70%,39.70%,44.60%,16.70%,13.00%,22.30%,46.30%,31.40%,50.50%,33.20%,68.40%,48.40%,80.60%,1.4,7,0.229,0.3,0.406,0.311,101,1.4,1
500,24.40%,8.00%,0.156,3.3,21.10%,47.90%,31.00%,14.40%,14.40%,20.50%,49.70%,29.80%,42.90%,31.60%,56.60%,53.10%,84.30%,-12.6,15,0.256,0.314,0.411,0.311,95,-5.9,-0.4
666,16.80%,10.10%,0.115,2.8,24.10%,55.70%,20.20%,4.10%,10.30%,16.50%,53.70%,29.80%,41.20%,29.00%,54.60%,74.40%,90.30%,-11.7,10,0.265,0.338,0.38,0.311,93,-3.3,0.2
603,15.90%,6.80%,0.107,1.2,22.10%,49.50%,28.40%,4.60%,6.90%,12.80%,50.30%,36.90%,47.70%,31.10%,63.90%,64.60%,90.80%,-14.5,9,0.271,0.323,0.379,0.311,96,-8.2,-0.7
297,23.20%,7.10%,0.179,2.2,20.30%,44.60%,35.10%,5.60%,16.90%,13.90%,51.00%,35.20%,48.20%,30.80%,66.00%,54.50%,84.70%,-6.5,12,0.235,0.3,0.414,0.311,95,-1.9,-0.1
119,20.20%,13.40%,0.186,0.3,19.00%,36.70%,44.30%,11.40%,11.40%,13.90%,62.00%,24.10%,44.00%,29.50%,59.20%,62.30%,92.40%,-1,4,0.216,0.319,0.402,0.31,79,-1.8,-0.2
504,30.60%,10.10%,0.173,2.5,18.20%,39.40%,42.50%,12.90%,16.90%,18.70%,46.90%,34.40%,47.30%,27.50%,68.80%,50.20%,75.20%,-10.4,21,0.22,0.306,0.393,0.31,94,-0.2,0.3
385,22.60%,6.00%,0.165,2.7,17.80%,33.70%,48.50%,16.00%,8.40%,24.40%,44.80%,30.70%,51.00%,32.40%,71.80%,57.10%,80.50%,-12.6,11,0.247,0.299,0.412,0.31,96,-4.1,-0.6
530,25.10%,8.10%,0.179,4.4,19.10%,36.30%,44.60%,9.60%,10.30%,21.90%,44.70%,33.30%,47.90%,34.30%,64.60%,65.30%,85.10%,6.1,16,0.242,0.306,0.421,0.31,89,-1.4,1.6
188,21.80%,10.60%,0.138,2.9,17.20%,37.70%,45.10%,7.30%,7.30%,11.30%,50.80%,37.90%,40.00%,20.30%,61.00%,48.10%,88.00%,-4.6,4,0.239,0.328,0.377,0.309,92,-0.8,-0.1
210,30.00%,5.20%,0.136,3,25.00%,38.20%,36.80%,4.00%,10.00%,14.70%,54.40%,30.90%,56.20%,42.40%,73.00%,54.50%,78.50%,-8.4,5,0.266,0.305,0.402,0.309,88,-0.6,-0.5
521,14.60%,8.30%,0.124,2.9,21.30%,43.40%,35.30%,16.30%,7.80%,27.10%,49.10%,23.80%,47.40%,31.80%,64.30%,70.40%,92.80%,-6,11,0.258,0.319,0.382,0.309,93,-3.6,0.3
476,16.40%,9.90%,0.151,3.5,20.90%,48.60%,30.60%,2.80%,9.30%,12.30%,52.60%,35.10%,44.20%,26.70%,60.60%,63.80%,92.10%,-6.2,10,0.24,0.315,0.391,0.309,84,-2,-0.1
600,30.30%,14.50%,0.157,3.1,20.20%,37.20%,42.60%,16.50%,14.30%,19.20%,47.20%,33.70%,43.10%,24.90%,65.80%,42.50%,78.30%,-7.7,19,0.197,0.33,0.354,0.309,98,-4.1,0.7
206,18.90%,11.70%,0.178,2.5,15.50%,35.20%,49.30%,10.00%,11.40%,23.80%,42.00%,34.30%,39.00%,23.10%,56.80%,57.70%,90.40%,-2.1,8,0.217,0.307,0.394,0.309,89,-0.9,0.1
440,23.00%,7.00%,0.186,3.4,23.90%,40.20%,35.90%,14.50%,13.60%,13.70%,53.60%,32.70%,49.90%,34.70%,68.30%,61.20%,84.40%,-11,15,0.233,0.289,0.419,0.309,98,-3.3,-0.2
341,32.80%,11.70%,0.174,1.8,27.30%,30.50%,42.20%,7.60%,17.70%,12.30%,48.70%,39.00%,45.30%,30.20%,63.20%,52.70%,83.10%,-8,14,0.217,0.314,0.391,0.309,91,-1.1,-0.1
