PA,K%,BB%,ISO,Spd,LD%,GB%,FB%,IFFB%,HR/FB,Soft%,Med%,Hard%,Swing%,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,Def,HR,AVG,OBP,SLG,wOBA,wRC+,BsR,WAR
648,30.70%,11.90%,0.276,2.3,17.90%,33.10%,49.00%,6.70%,21.30%,14.10%,42.20%,43.80%,44.20%,27.10%,65.30%,46.30%,79.20%,-14.3,38,0.26,0.356,0.536,0.381,136,-4.3,3
548,26.60%,11.70%,0.315,5.5,17.60%,35.30%,47.10%,8.40%,25.20%,14.00%,43.00%,43.00%,44.40%,28.50%,64.70%,54.90%,78.10%,-6,39,0.267,0.352,0.581,0.38,138,2,4
691,13.00%,13.20%,0.234,4.4,20.10%,40.70%,39.20%,10.10%,16.90%,19.80%,45.90%,34.40%,46.40%,31.90%,63.50%,70.50%,90.30%,-7.5,32,0.273,0.392,0.507,0.38,133,-4.2,4
693,16.50%,13.40%,0.213,1,21.10%,39.50%,39.50%,5.30%,16.40%,13.70%,48.70%,37.70%,47.70%,32.40%,67.10%,65.20%,86.60%,-12.2,31,0.298,0.393,0.511,0.379,142,-1.9,4.4
307,19.50%,10.40%,0.21,4.6,26.60%,42.10%,31.30%,7.50%,20.90%,17.70%,45.10%,37.20%,41.40%,26.60%,58.30%,68.00%,86.90%,-7.5,14,0.309,0.379,0.518,0.379,135,0.2,1.6
565,19.60%,13.50%,0.255,2.4,17.40%,32.60%,50.00%,10.10%,18.00%,17.40%,44.70%,37.90%,40.50%,22.30%,61.20%,59.60%,87.00%,-15.1,32,0.247,0.373,0.502,0.378,131,-1.9,2.4
675,17.60%,5.20%,0.248,4.4,18.20%,45.30%,36.40%,7.10%,17.90%,15.80%,43.70%,40.50%,48.30%,35.40%,64.00%,61.70%,90.30%,-11.7,33,0.304,0.354,0.552,0.377,138,-2,4.1
417,8.40%,11.80%,0.163,1.7,23.20%,42.70%,34.10%,10.70%,8.90%,18.20%,47.30%,34.60%,35.60%,19.90%,51.70%,75.50%,94.80%,-10.6,10,0.31,0.394,0.474,0.377,121,-0.1,1.4
570,28.60%,15.30%,0.31,3.6,16.80%,29.00%,54.10%,11.60%,23.80%,14.20%,39.60%,46.30%,45.70%,24.30%,69.70%,44.20%,75.00%,-16.9,39,0.227,0.356,0.537,0.377,132,2.2,2.8
574,14.60%,17.20%,0.114,2.5,22.20%,43.40%,34.40%,9.20%,6.20%,13.50%,58.10%,28.50%,35.20%,18.30%,52.40%,71.80%,90.20%,-17.6,8,0.291,0.426,0.405,0.376,129,-5.8,1.6
